epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,307.136,1.09539,0.89256,0.99708,0.83333,0.85038,0.81585,0.57039,1.05627,0.91809,1.02192,0.004951,0.004951,0.004951
155,309.511,1.11235,0.84476,0.96445,0.82265,0.84276,0.81177,0.56349,1.05999,0.9417,1.02415,0.004918,0.004918,0.004918
156,311.618,1.1181,0.83195,0.96309,0.82265,0.84276,0.81177,0.56349,1.05999,0.9417,1.02415,0.004885,0.004885,0.004885
157,313.334,1.01509,0.84056,0.98447,0.82265,0.84276,0.81177,0.56349,1.05999,0.9417,1.02415,0.004852,0.004852,0.004852
158,315.205,1.11174,0.80104,0.96677,0.82558,0.84368,0.81394,0.56677,1.07183,0.91119,1.0316,0.004819,0.004819,0.004819
159,317.023,1.13103,0.84375,1.01733,0.82558,0.84368,0.81394,0.56677,1.07183,0.91119,1.0316,0.004786,0.004786,0.004786
160,318.909,1.1173,0.8812,1.01268,0.82558,0.84368,0.81394,0.56677,1.07183,0.91119,1.0316,0.004753,0.004753,0.004753
161,320.759,1.13737,0.90597,1.03582,0.82558,0.84368,0.81394,0.56677,1.07183,0.91119,1.0316,0.00472,0.00472,0.00472
162,323.306,1.08469,0.81653,0.98128,0.83152,0.85556,0.81753,0.57058,1.081,0.89448,1.04192,0.004687,0.004687,0.004687
163,325.113,1.06079,0.90259,1.02421,0.83152,0.85556,0.81753,0.57058,1.081,0.89448,1.04192,0.004654,0.004654,0.004654
164,326.951,1.07042,0.81819,0.99112,0.83152,0.85556,0.81753,0.57058,1.081,0.89448,1.04192,0.004621,0.004621,0.004621
165,329.214,1.08835,0.79721,0.96185,0.84847,0.847,0.81614,0.56621,1.08944,0.87439,1.04809,0.004588,0.004588,0.004588
166,331.058,1.10474,0.91245,0.97985,0.84847,0.847,0.81614,0.56621,1.08944,0.87439,1.04809,0.004555,0.004555,0.004555
167,332.866,1.08876,0.79885,0.9737,0.84847,0.847,0.81614,0.56621,1.08944,0.87439,1.04809,0.004522,0.004522,0.004522
168,334.99,1.14703,0.83006,0.99504,0.85427,0.85799,0.81062,0.56292,1.09022,0.85338,1.04259,0.004489,0.004489,0.004489
169,337.289,1.12959,0.88089,0.98812,0.85427,0.85799,0.81062,0.56292,1.09022,0.85338,1.04259,0.004456,0.004456,0.004456
170,339.014,1.05511,0.88852,1.01605,0.85427,0.85799,0.81062,0.56292,1.09022,0.85338,1.04259,0.004423,0.004423,0.004423
171,340.728,1.05427,0.82851,1.00544,0.83163,0.83849,0.81512,0.56991,1.07617,0.8753,1.03472,0.00439,0.00439,0.00439
172,342.534,1.04768,0.81238,0.98142,0.83163,0.83849,0.81512,0.56991,1.07617,0.8753,1.03472,0.004357,0.004357,0.004357
173,344.563,1.15199,0.8117,0.9681,0.83163,0.83849,0.81512,0.56991,1.07617,0.8753,1.03472,0.004324,0.004324,0.004324
174,346.428,1.08835,0.80829,0.9785,0.83321,0.81601,0.81403,0.56553,1.06927,0.89172,1.03245,0.004291,0.004291,0.004291
175,348.625,1.0916,0.77295,0.96984,0.83321,0.81601,0.81403,0.56553,1.06927,0.89172,1.03245,0.004258,0.004258,0.004258
176,350.899,1.07154,0.83497,0.98823,0.83321,0.81601,0.81403,0.56553,1.06927,0.89172,1.03245,0.004225,0.004225,0.004225
177,352.728,1.11747,0.83338,0.9845,0.83321,0.81601,0.81403,0.56553,1.06927,0.89172,1.03245,0.004192,0.004192,0.004192
